2339
0 1 2
4 0 2
4 3 0
4 2 6
4 8 3
8 5 3
7 4 6
7 8 4
8 14 5
14 10 5
12 7 6
12 6 9
13 8 7
12 13 7
13 11 8
11 14 8
20 12 9
20 9 15
14 21 10
21 16 10
19 11 13
18 14 11
19 18 11
20 13 12
20 19 13
18 17 14
17 21 14
29 20 15
29 15 23
21 24 16
24 22 16
27 17 18
26 21 17
27 26 17
28 18 19
28 27 18
29 19 20
29 28 19
21 25 24
26 25 21
24 39 22
39 30 22
38 29 23
33 23 31
33 38 23
32 24 25
32 39 24
35 25 26
34 32 25
35 34 25
36 26 27
36 35 26
37 27 28
37 36 27
38 28 29
38 37 28
39 50 30
50 41 30
48 33 31
49 31 40
49 48 31
34 45 32
45 39 32
33 44 38
48 44 33
46 34 35
43 45 34
46 43 34
47 35 36
47 46 35
51 36 37
51 47 36
44 37 38
44 51 37
45 42 39
42 50 39
62 49 40
62 40 53
50 55 41
55 52 41
63 42 45
56 50 42
63 56 42
43 63 45
57 43 46
57 63 43
48 51 44
58 46 47
58 57 46
59 47 51
59 58 47
49 60 48
48 60 51
49 61 60
62 61 49
50 54 55
56 54 50
60 59 51
55 65 52
75 62 53
75 53 64
66 55 54
67 54 56
67 66 54
66 65 55
63 68 56
67 56 68
58 70 57
57 69 63
70 69 57
59 71 58
71 70 58
60 72 59
72 71 59
61 72 60
62 74 61
61 73 72
74 73 61
75 74 62
63 69 68
87 75 64
87 64 76
66 77 65
67 78 66
78 77 66
80 67 68
80 78 67
81 68 69
81 80 68
70 82 69
81 69 82
71 83 70
83 82 70
72 84 71
84 83 71
73 84 72
74 86 73
73 85 84
86 85 73
75 79 74
74 79 86
87 79 75
87 76 90
100 76 88
100 90 76
91 77 78
91 89 77
80 91 78
98 86 79
87 98 79
81 92 80
92 91 80
93 81 82
93 92 81
83 94 82
94 93 82
84 95 83
95 94 83
85 95 84
97 85 86
96 95 85
97 96 85
98 97 86
87 90 99
87 99 98
113 100 88
113 88 101
103 89 91
103 102 89
111 99 90
100 111 90
103 91 92
93 104 92
104 103 92
94 105 93
105 104 93
95 106 94
106 105 94
96 106 95
97 108 96
96 107 106
108 107 96
98 109 97
109 108 97
99 109 98
99 110 109
111 110 99
100 112 111
113 112 100
116 113 101
116 101 114
117 102 103
117 115 102
117 103 104
105 118 104
117 104 118
106 119 105
105 119 118
106 107 119
108 121 107
120 119 107
121 120 107
109 122 108
122 121 108
109 110 122
111 124 110
123 122 110
124 123 110
112 124 111
126 112 113
125 124 112
126 125 112
116 126 113
116 114 138
139 114 127
139 138 114
129 115 117
140 128 115
140 115 129
116 138 126
129 117 118
131 118 119
131 129 118
120 131 119
121 132 120
120 130 131
132 130 120
122 133 121
133 132 121
123 133 122
135 123 124
123 134 133
135 134 123
125 135 124
126 137 125
125 136 135
137 136 125
138 137 126
151 139 127
151 127 142
143 128 140
143 141 128
140 129 131
130 140 131
132 152 130
152 140 130
133 144 132
144 152 132
134 144 133
135 146 134
145 144 134
146 145 134
136 146 135
137 148 136
136 147 146
148 147 136
138 149 137
149 148 137
139 149 138
139 150 149
151 150 139
152 143 140
143 156 141
141 156 154
155 151 142
165 142 153
165 155 142
152 156 143
145 157 144
157 152 144
146 159 145
145 158 157
159 158 145
147 159 146
148 161 147
147 160 159
161 160 147
149 162 148
162 161 148
150 162 149
164 150 151
163 162 150
164 163 150
155 164 151
157 156 152
165 153 166
169 154 156
177 168 154
177 154 169
155 176 164
165 176 155
169 156 157
158 169 157
159 170 158
177 169 158
170 177 158
160 170 159
161 172 160
160 178 170
172 178 160
162 173 161
173 172 161
163 173 162
164 175 163
163 174 173
175 174 163
176 175 164
165 166 167
165 167 171
165 171 176
171 167 180
181 168 177
181 179 168
178 177 170
171 187 176
171 180 187
184 172 173
172 183 178
184 183 172
184 173 174
175 186 174
185 184 174
186 185 174
176 187 175
187 186 175
178 181 177
182 181 178
182 178 183
182 179 181
182 189 179
187 180 193
193 180 188
192 182 183
192 189 182
190 183 184
190 192 183
185 190 184
186 191 185
185 194 190
191 194 185
187 193 186
193 191 186
193 188 199
188 195 199
198 189 192
198 196 189
194 192 190
193 199 191
191 199 194
194 198 192
197 198 194
197 194 199
195 201 199
203 196 198
202 200 196
203 202 196
197 203 198
197 199 201
197 201 203
202 206 200
204 200 206
203 201 205
207 202 203
207 206 202
207 203 205
211 204 206
211 208 204
212 207 205
212 205 209
207 210 206
210 211 206
212 210 207
211 214 208
217 212 209
217 209 213
210 215 211
212 215 210
215 214 211
212 216 215
217 216 212
222 217 213
222 213 220
215 218 214
215 216 218
217 221 216
218 216 219
221 219 216
222 221 217
221 225 219
224 222 220
220 223 227
224 220 227
222 226 221
226 225 221
224 226 222
223 228 227
224 233 226
224 227 233
232 225 226
231 230 225
232 231 225
233 232 226
229 227 228
233 227 229
233 229 234
231 237 230
237 235 230
232 236 231
231 236 237
233 234 232
232 234 236
237 240 235
240 238 235
237 236 239
237 239 240
240 244 238
243 241 238
244 243 238
245 240 239
239 242 246
245 239 246
245 244 240
250 246 242
248 250 242
244 249 243
245 249 244
245 246 249
247 249 246
247 246 250
247 250 252
254 250 248
255 248 251
255 254 248
253 252 250
254 253 250
262 255 251
262 251 257
253 258 252
258 256 252
260 253 254
259 258 253
260 259 253
261 254 255
261 260 254
263 261 255
263 255 262
258 269 256
269 265 256
268 262 257
257 264 271
268 257 271
259 273 258
273 269 258
274 259 260
266 273 259
274 266 259
267 260 261
267 274 260
275 261 263
275 267 261
270 263 262
270 262 268
272 263 270
272 275 263
264 286 271
264 277 286
269 278 265
278 276 265
266 283 273
284 266 274
284 283 266
291 274 267
291 267 275
285 270 268
285 268 271
273 279 269
269 279 278
287 272 270
287 270 285
285 271 288
288 271 286
289 275 272
290 272 287
290 289 272
273 282 279
273 283 282
280 284 274
291 280 274
289 281 275
281 291 275
299 286 277
299 277 292
282 293 279
297 284 280
298 280 291
298 297 280
303 281 289
300 291 281
303 300 281
295 282 283
294 293 282
295 294 282
284 296 283
296 295 283
297 296 284
302 287 285
302 285 288
301 288 286
301 286 299
307 290 287
307 287 302
304 288 301
304 302 288
305 289 290
305 303 289
306 305 290
306 290 307
300 298 291
316 299 292
316 292 309
294 308 293
312 294 295
311 308 294
312 311 294
313 295 296
313 312 295
297 314 296
314 313 296
326 297 298
326 314 297
315 298 300
315 326 298
301 299 318
316 318 299
317 300 303
317 315 300
304 301 319
301 318 319
310 302 304
310 307 302
320 303 305
320 317 303
322 310 304
322 304 319
321 305 306
321 320 305
323 306 307
321 306 325
323 325 306
324 307 310
324 323 307
311 328 308
336 316 309
336 309 327
324 310 322
312 332 311
345 328 311
345 311 332
333 312 313
333 332 312
334 313 314
334 333 313
326 329 314
329 334 314
330 315 317
337 326 315
330 337 315
338 318 316
338 316 336
346 317 320
346 330 317
339 319 318
339 318 338
340 322 319
340 319 339
341 320 321
341 346 320
343 321 325
343 341 321
324 322 342
340 342 322
347 323 324
331 325 323
347 331 323
347 324 342
344 325 331
344 343 325
326 335 329
337 335 326
356 336 327
356 327 350
345 348 328
370 334 329
370 329 335
371 337 330
371 330 346
365 344 331
365 331 347
353 332 333
345 332 351
353 351 332
354 333 334
354 353 333
370 354 334
337 357 335
355 335 357
355 370 335
358 338 336
358 336 356
371 357 337
359 339 338
359 338 358
360 340 339
360 339 359
362 342 340
362 340 360
364 341 343
361 346 341
364 361 341
363 347 342
363 342 362
366 343 344
366 364 343
368 344 365
368 366 344
345 349 348
369 349 345
369 345 351
361 352 346
352 371 346
367 347 363
367 365 347
369 372 349
376 356 350
382 350 373
382 376 350
353 395 351
395 369 351
387 352 361
352 386 371
387 386 352
380 353 354
380 395 353
381 354 370
381 380 354
355 357 377
355 375 370
396 375 355
396 355 377
383 358 356
383 356 376
384 357 371
384 377 357
385 359 358
385 358 383
397 360 359
397 359 385
388 362 360
388 360 397
364 389 361
387 361 389
390 363 362
390 362 388
392 367 363
392 363 390
391 364 366
391 389 364
393 365 367
393 368 365
398 366 368
398 391 366
394 367 392
394 393 367
378 368 393
378 398 368
369 379 372
374 379 369
395 374 369
375 381 370
384 371 386
379 400 372
409 382 373
409 373 399
374 426 379
401 374 395
401 426 374
406 381 375
396 406 375
410 376 382
410 383 376
411 377 384
411 396 377
422 378 393
424 398 378
424 378 422
379 404 400
426 404 379
405 380 381
427 395 380
405 427 380
406 405 381
412 382 409
412 410 382
413 385 383
413 383 410
414 384 386
414 411 384
402 397 385
402 385 413
415 386 387
415 414 386
417 387 389
417 415 387
418 390 388
416 388 397
418 388 416
420 389 391
420 417 389
403 392 390
403 390 418
421 391 398
421 420 391
428 394 392
428 392 403
422 393 394
425 422 394
425 394 428
427 401 395
407 406 396
408 407 396
411 408 396
419 397 402
419 416 397
423 421 398
424 423 398
442 409 399
442 399 432
404 429 400
401 433 426
427 433 401
445 402 413
419 402 445
403 418 461
428 403 461
426 438 404
404 458 429
438 458 404
439 405 406
434 427 405
439 434 405
407 439 406
441 407 408
440 439 407
441 440 407
411 459 408
435 441 408
435 408 459
444 412 409
444 409 442
443 410 412
443 413 410
414 459 411
446 443 412
446 412 444
445 413 443
447 414 415
447 459 414
448 415 417
448 447 415
436 418 416
460 416 419
460 436 416
450 417 420
450 448 417
436 461 418
419 445 449
460 419 449
451 420 421
451 450 420
452 421 423
452 451 421
453 424 422
453 422 425
456 423 424
454 452 423
456 454 423
456 424 453
425 428 455
457 453 425
457 425 455
426 433 430
426 430 438
427 431 433
434 431 427
437 455 428
437 428 461
458 462 429
438 430 465
434 467 431
470 442 432
473 432 466
473 470 432
439 467 434
471 441 435
475 435 459
475 471 435
460 484 436
436 484 461
495 455 437
488 437 461
495 437 488
438 472 458
438 465 472
440 467 439
441 469 440
440 463 467
440 469 463
471 469 441
474 444 442
474 442 470
445 443 477
446 477 443
478 446 444
478 444 474
445 477 449
480 477 446
480 446 478
479 447 448
476 459 447
479 476 447
482 448 450
482 479 448
483 460 449
481 449 477
483 449 481
485 450 451
485 482 450
487 451 452
487 485 451
489 452 454
489 487 452
490 456 453
490 453 457
493 454 456
491 489 454
493 491 454
492 457 455
492 455 495
493 456 490
494 490 457
494 457 492
458 464 462
458 468 464
472 468 458
476 475 459
486 460 483
486 484 460
488 461 484
468 496 464
472 465 498
473 466 502
466 499 502
472 497 468
471 500 469
503 470 473
503 474 470
475 500 471
472 498 497
504 473 502
504 503 473
505 478 474
505 474 503
506 475 476
506 500 475
507 476 479
507 506 476
481 477 480
480 478 508
505 508 478
509 479 482
509 507 479
510 481 480
510 480 508
511 483 481
511 481 510
512 482 485
512 509 482
513 486 483
513 483 511
515 484 486
515 488 484
514 485 487
514 512 485
518 486 513
518 515 486
516 487 489
516 514 487
495 488 517
515 517 488
519 489 491
519 516 489
521 493 490
521 490 494
525 491 493
501 519 491
525 501 491
523 494 492
520 492 495
523 492 520
525 493 521
524 521 494
524 494 523
495 517 522
520 495 522
553 502 499
553 499 526
506 527 500
546 519 501
549 501 525
549 546 501
530 504 502
530 502 553
531 503 504
531 505 503
532 504 530
532 531 504
533 508 505
533 505 531
534 506 507
534 527 506
536 507 509
536 534 507
510 508 535
533 535 508
538 509 512
538 536 509
537 511 510
537 510 535
539 513 511
539 511 537
540 512 514
540 538 512
542 518 513
542 513 539
541 514 516
541 540 514
528 517 515
528 515 518
543 516 519
543 541 516
545 522 517
545 517 528
544 528 518
544 518 542
546 543 519
529 520 522
547 523 520
529 547 520
548 521 524
548 525 521
554 529 522
554 522 545
550 524 523
550 523 547
551 548 524
551 524 550
552 525 548
552 549 525
553 526 555
534 556 527
545 528 544
574 547 529
574 529 554
560 532 530
559 530 553
560 530 559
561 531 532
561 533 531
562 532 560
562 561 532
563 535 533
563 533 561
557 534 536
557 556 534
564 537 535
564 535 563
582 536 538
582 557 536
565 539 537
565 537 564
540 566 538
582 538 566
568 542 539
568 539 565
567 540 541
567 566 540
569 541 543
569 567 541
583 544 542
583 542 568
